tubeNo,institution_department
S1,がん研有明病院_乳腺センター
S2,がん研有明病院_乳腺センター
S3,がん研有明病院_乳腺センター
S4,がん研有明病院_乳腺センター
S5,がん研有明病院_乳腺センター
S6,がん研有明病院_乳腺センター
S7,がん研有明病院_乳腺センター
N1,がん研有明病院_乳腺センター
S8,がん研有明病院_乳腺センター
S9,がん研有明病院_乳腺センター
S10,がん研有明病院_乳腺センター
N3,がん研有明病院_乳腺センター
S11,がん研有明病院_乳腺センター
S12,がん研有明病院_乳腺センター
N4,がん研有明病院_乳腺センター
S13,がん研有明病院_乳腺センター
S14,がん研有明病院_乳腺センター
S15,がん研有明病院_乳腺センター
S16,がん研有明病院_乳腺センター
S17,がん研有明病院_乳腺センター
S18,がん研有明病院_乳腺センター
S19,がん研有明病院_乳腺センター
N5,がん研有明病院_乳腺センター
S20,がん研有明病院_乳腺センター
S21,がん研有明病院_乳腺センター
N6,がん研有明病院_乳腺センター
S22,がん研有明病院_乳腺センター
S23,がん研有明病院_乳腺センター
S24,がん研有明病院_乳腺センター
S25,がん研有明病院_乳腺センター
S26,がん研有明病院_乳腺センター
S27,がん研有明病院_乳腺センター
N2,がん研有明病院_乳腺センター
N7,がん研有明病院_乳腺センター
S28,がん研有明病院_乳腺センター
S29,がん研有明病院_乳腺センター
S30,がん研有明病院_乳腺センター
H1,がん研有明病院_乳腺センター
H2,がん研有明病院_乳腺センター
H3,がん研有明病院_乳腺センター
H4,がん研有明病院_乳腺センター
H5,がん研有明病院_乳腺センター
H6,がん研有明病院_乳腺センター
H7,がん研有明病院_乳腺センター
H8,がん研有明病院_乳腺センター
H9,がん研有明病院_乳腺センター
H10,がん研有明病院_乳腺センター
H11,がん研有明病院_乳腺センター
H12,がん研有明病院_乳腺センター
H13,がん研有明病院_乳腺センター
H14,がん研有明病院_乳腺センター
H15,がん研有明病院_乳腺センター
H16,がん研有明病院_乳腺センター
H17,がん研有明病院_乳腺センター
H18,がん研有明病院_乳腺センター
